#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  I_b_ave_(A)  |VxB0|_(V/m)    V_anode  V_cathode  T_temp_C_(ohm)  T_resist_(ohm)
      0.131944444    4.7938288   6775.344   -760.008  -1316.457   1654.683   3705.869   6419.601   0.004972055    60.0031976      6977.6477     359.87593     359.99958  347.4790266   1.02547e+12     9.9317e-13   3.3935e+13  14422.92   3273.35  22383.59    2.8946937    0.08661528    89.4415     0.0000        20.00000         4.48830
      0.138888889    1.4521704   6297.646   1465.149   2538.207  -3188.891   3444.616   5967.216   0.004959598    60.0041601      6977.5589     359.86968     359.99964   25.0862839   2.94629e+11     5.6568e-13   1.9728e+13 -26620.56  -1771.06  12758.18    0.8729256    0.15449266    95.9503     0.0000        20.00000         4.48830
      0.145833333    0.6899168   3219.053   3085.852   5345.799  -6701.581   1766.035   3059.342   0.004957720    60.0042837      6977.5415     359.85150     359.99975   62.6059838   1.36848e+11     1.8590e-13   6.1592e+12 -27768.70 -22870.39 -25242.90    0.4143271    0.31471965    99.6378     0.0000        20.00000         4.48830
      0.152777778    0.8847573  -1182.868   3440.764   5960.600  -7448.958   -621.291  -1076.347   0.004957402    60.0042921      6977.5255     359.82581     359.99976   99.9263629   1.65090e+11     1.1740e-13   3.5802e+12  13603.90 -25994.25 -29121.61    0.5313642    0.29704045   112.6685     0.0000        20.00000         4.48830
      0.159722222    0.4516688  -5106.367   2395.713   4150.173  -5172.055  -2736.622  -4740.842   0.004958295    60.0043244      6977.5111     359.80473     359.99969  137.0144228   7.16361e+10     8.6450e-14   2.4018e+12  29528.73 -12335.89   1629.57    0.2711319    0.19634484   155.2905     0.0000        20.00000         4.48830
      0.166666667    0.7311098  -6969.959    382.919    663.277   -825.419  -3737.293  -6474.345   0.004960373    60.0044260      6977.4950     359.79396     359.99964  173.9355904   1.22732e+11     6.9630e-14   2.1713e+12  -2394.44   1101.36  23816.68    0.4389702    0.07831074   138.8873     0.0000        20.00000         4.48830
      0.173611111    0.3336121  -6030.400  -1784.015  -3090.632   3849.390  -3233.179  -5601.014   0.004962184    60.0045334      6977.4821     359.79634     359.99966  210.8193523   1.04806e+11     1.3643e-13   4.7083e+12 -23118.70  -3099.78   1430.18    0.2003822    0.14719616    39.7726     0.0000        20.00000         4.48830
      0.180555556    0.3492404  -2661.671  -3231.465  -5598.115   6989.106  -1420.034  -2459.957   0.004962313    60.0045570      6977.4809     359.79762     359.99969  247.8217228   3.19354e+11     3.4206e-13   1.1668e+13 -24736.68 -13695.51 -22318.00    0.2113214    0.24472077     4.9733     0.0000        20.00000         4.48830
      0.187500000    1.5255876   1784.333  -3367.547  -5833.823   7306.449    986.298   1708.683   0.004962259    60.0045628      6977.4751     359.80714     359.99977  285.0295565   4.09729e+11     6.4525e-13   2.1612e+13  13746.27 -27440.81 -39366.96    0.9184029    0.36508740    55.3885     0.0000        20.00000         4.48830
      0.194444444    1.6624070   5497.379  -2125.795  -3682.615   4624.461   3007.601   5210.349   0.004960559    60.0046611      6977.4536     359.83591     359.99963  322.4428916   3.57971e+11     9.0757e-13   3.1334e+13  39530.94  -9261.28  -1956.49    0.9997560    0.26234946    85.5048     0.0000        20.00000         4.48830
      0.201388889    4.6756589   6942.818     -8.341    -14.320     18.128   3797.247   6578.489   0.004949932    60.0055238      6977.3755     359.86823     359.99938  359.9953103   9.61033e+11     8.6464e-13   2.9560e+13   1684.50   4523.69  25614.63    2.8215462    0.05583273    96.4096     0.0000        20.00000         4.48830
      0.208333333    0.7819896   5517.615   2112.482   3659.909  -4595.686   3018.482   5229.399   0.004941433    60.0061562      6977.3136     359.84657     359.99955   37.6013281   1.52352e+11     4.1800e-13   1.4603e+13 -30531.97  -7123.87   3776.54    0.4696356    0.18728367   103.3252     0.0000        20.00000         4.48830
      0.215277778    0.3198887   1816.463   3363.027   5826.413  -7296.976   1003.669   1738.759   0.004940463    60.0062108      6977.3024     359.83211     359.99963   75.0578439   6.37998e+10     1.3445e-13   4.2384e+12 -17686.12 -26118.25 -31491.83    0.1920328    0.32261179    98.2336     0.0000        20.00000         4.48830
      0.222222222    0.7447460  -2630.803   3237.541   5608.959  -7002.567  -1403.351  -2431.368   0.004940631    60.0062187      6977.2909     359.81346     359.99960  112.2948061   1.52332e+11     1.0454e-13   3.0694e+12  23909.09 -22034.66 -24574.87    0.4473032    0.28746496    93.7851     0.0000        20.00000         4.48830
      0.229166667    0.3412155  -6013.223   1798.140   3115.172  -3879.881  -3223.963  -5585.532   0.004941473    60.0062650      6977.2812     359.80099     359.99954  149.3129365   6.18844e+10     8.1930e-14   2.3470e+12  25016.26  -3667.99  12231.17    0.2048144    0.13693226   118.7311     0.0000        20.00000         4.48830
      0.236111111    0.6530941  -6973.110   -366.503   -635.066    790.557  -3739.097  -6477.956   0.004942936    60.0063684      6977.2707     359.79729     359.99952  186.2056431   1.52246e+11     7.3441e-14   2.3671e+12 -14055.43   2614.38  16809.98    0.3922857    0.09694288    72.2641     0.0000        20.00000         4.48830
      0.243055556    0.3782523  -5128.172  -2383.565  -4129.597   5146.890  -2748.517  -4761.733   0.004943626    60.0064292      6977.2655     359.79990     359.99954  223.1166662   1.37268e+11     1.8736e-13   6.5464e+12 -20532.78  -5393.60  -4263.67    0.2272972    0.14180754    29.9176     0.0000        20.00000         4.48830
      0.250000000    1.3807047  -1214.206  -3437.624  -5955.706   7443.418   -638.359  -1105.878   0.004943986    60.0064677      6977.2592     359.80931     359.99964  260.1773295   3.85868e+11     4.5060e-13   1.5050e+13 -18018.51 -18608.90 -24462.72    0.8310471    0.24307549    51.1105     0.0000        20.00000         4.48830
