#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  |VxB0|_(V/m)
      0.000000000    0.0000000   6971.200      0.000      0.000      0.000  -1052.375   7488.036   0.000000000    98.0000000      6971.2000     180.00000       0.00000  180.0000000   6.41721e+11     6.0450e-13   2.0853e+13  -7114.64   3008.41  22672.46    0.07946915
      0.006944444    0.0000000   5546.211   -587.785   4182.306  -4581.109   -837.258   5957.400   0.000000002    98.0000000      6971.2000     183.05851       0.00000  214.2305566   2.96384e+11     4.1843e-13   1.4569e+13 -37697.35   7156.79  -7839.28    0.27476785
      0.013888889    0.0000000   1853.810   -935.270   6654.794  -7289.361   -279.852   1991.249   0.000000003    98.0000000      6971.2000     201.70305     360.00000  232.8750755   3.65830e+11     2.0887e-13   6.7122e+12 -13920.32   9839.66 -41084.92    0.33914589
      0.020833333    0.0000000  -2596.469   -900.397   6406.658  -7017.564    391.964  -2788.967   0.000000004    98.0000000      6971.1999     220.34757     360.00000  251.5196216   8.62989e+10     1.1460e-13   2.9912e+12  23240.02   7013.61 -38329.12    0.34220479
      0.027777778    0.0000000  -5985.254   -497.422   3539.340  -3876.834    903.536  -6428.994   0.000000005    98.0000000      6971.1999     238.99211     360.00000  270.1641537   6.38876e+10     1.2637e-13   3.7458e+12  34444.27   2518.06   8247.22    0.19915859
      0.034722222    0.0000000  -6927.138    108.910   -774.937    848.831   1045.723  -7440.707   0.000000005    98.0000000      6971.1999     257.63664     360.00000  288.8086877   1.87561e+11     1.3720e-13   4.6956e+12 -17535.16   3426.53  22422.35    0.13007597
      0.041666667    0.0000000  -5037.057    670.717  -4772.402   5227.474    760.396  -5410.498   0.000000004    98.0000000      6971.1999     276.28117     360.00000  307.4532169   1.68445e+11     1.8585e-13   6.4883e+12 -26308.23  12555.75 -12397.60    0.23510220
      0.048611111    0.0000000  -1087.717    958.321  -6818.806   7469.013    164.202  -1168.359   0.000000004    98.0000000      6971.1998     294.92571     360.00000  326.0977509   4.19651e+11     2.6753e-13   9.2219e+12  -7214.90  17579.52 -31146.76    0.27814989
      0.055555556    0.0000000   3306.305    854.142  -6077.534   6657.056   -499.121   3551.430   0.000000002    98.0000000      6971.1998     313.57023     360.00000  344.7422900   2.93978e+11     4.8200e-13   1.6681e+13  24194.92  15398.00 -21564.06    0.26364801
      0.062500000    0.0000000   6348.638    400.771  -2851.633   3123.550   -958.393   6819.318   0.000000001    98.0000000      6971.1998     332.21476     360.00000    3.3868274   4.53647e+11     6.3444e-13   2.2070e+13  21248.33   6655.78  13098.75    0.13209836
      0.069444444    0.0000000   6795.509   -216.444   1540.078  -1686.931  -1025.852   7299.320   0.000000001    98.0000000      6971.1998     170.85935     360.00000  202.0313081   4.14647e+11     5.3449e-13   1.8483e+13 -18717.40   4605.91  18892.23    0.12696159
      0.076388889    0.0000000   4464.228   -745.171   5302.171  -5807.759   -673.921   4795.200   0.000000002    98.0000000      6971.1998     189.50385     360.00000  220.6758690   2.89225e+11     3.5347e-13   1.2141e+13 -33722.06  10470.09 -19587.25    0.29401584
      0.083333333    0.0000000    307.873   -969.257   6896.621  -7554.248    -46.477    330.699   0.000000003    98.0000000      6971.1997     208.14837     360.00000  239.3204123   2.59515e+11     1.4925e-13   4.4124e+12  -2365.52   9023.51 -43359.14    0.33849289
      0.090277778    0.0000000  -3974.346   -797.089   5671.582  -6212.395    599.969  -4269.000   0.000000004    98.0000000      6971.1997     226.79289     360.00000  257.9649629   5.71951e+10     1.1794e-13   3.0699e+12  33392.32   4644.39 -24088.45    0.29944015
      0.097222222    0.0000000  -6631.767   -299.054   2127.877  -2330.781   1001.134  -7123.438   0.000000005    98.0000000      6971.1997     245.43743     360.00000  276.6094908   7.75308e+10     1.3023e-13   4.1602e+12  18851.46    560.83  21805.58    0.09523006
      0.104166667    0.0000000  -6577.976    321.241  -2285.751   2503.708    993.014  -7065.660   0.000000005    98.0000000      6971.1997     264.08196     360.00000  295.2540266   1.15965e+11     1.5322e-13   5.3153e+12 -23016.11   4164.95   7424.84    0.15587874
      0.111111111    0.0000000  -3834.966    810.206  -5764.914   6314.626    578.928  -4119.286   0.000000004    98.0000000      6971.1997     282.72648     360.00000  313.8985713   1.93609e+11     1.9876e-13   6.9357e+12 -19918.11  11567.98 -14302.35    0.19875228
      0.118055556    0.0000000    475.862    967.940  -6887.254   7543.988    -71.836    511.142   0.000000003    98.0000000      6971.1996     301.37103     360.00000  332.5430968   3.86648e+11     3.4600e-13   1.1759e+13     94.75  17883.76 -35195.48    0.30070782
      0.125000000    0.0000000   4592.148    729.960  -5193.935   5689.202   -693.232   4932.604   0.000000002    98.0000000      6971.1996     320.01557     360.00000  351.1876155   2.42034e+11     5.4603e-13   1.8967e+13  31800.62  13055.33 -14782.90    0.26917431
      0.131944444    0.0000000   6831.063    193.556  -1377.222   1508.547  -1031.220   7337.510   0.000000000    98.0000000      6971.1996     338.66020     360.00000    9.8320601   8.29039e+11     6.5226e-13   2.2537e+13  13007.53   5168.29  21599.10    0.09858225
      0.138888889    0.0000000   6277.290   -421.978   3002.530  -3288.836   -947.622   6742.681   0.000000001    98.0000000      6971.1996     177.30459     360.00000  208.4767367   2.62575e+11     4.6133e-13   1.6056e+13 -26689.82   5859.26   9765.60    0.16687389
