#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  |VxB0|_(V/m)
      0.000000000    0.0000000   6971.200      0.000      0.000     -0.000   7561.625      0.000   0.000000000     0.0000000      6971.2000     180.00000     -57.29578  180.0000000   6.41721e+11     6.0450e-13   2.0853e+13  -7114.64   3008.41  22672.46    0.16760385
      0.006944444    0.0000000   5546.211   4223.408      0.000  -4581.109   6015.947      0.000   0.000000002     0.0000000      6971.2000     176.94150     -57.29578  214.2305628   4.73183e+11     3.1308e-13   1.1008e+13  -4127.03  -7451.26  20552.02    0.15504202
      0.013888889    0.0000000   1853.810   6720.195      0.000  -7289.361   2010.818      0.000   0.000000003     0.0000000      6971.2000     158.29696     -57.29578  232.8750886   4.14245e+11     1.7485e-13   6.1003e+12   6957.48   1518.73  19494.79    0.13947504
      0.020833333    0.0000000  -2596.469   6469.620      0.000  -7017.564  -2816.376      0.000   0.000000004     0.0000000      6971.1999     139.65243     -57.29578  251.5196273   3.42387e+11     1.6821e-13   5.8195e+12  -1336.72   9796.19  20960.17    0.16257487
      0.027777778    0.0000000  -5985.254   3574.123      0.000  -3876.834  -6492.175      0.000   0.000000005     0.0000000      6971.1999     121.00790     -57.29578  270.1641602   2.24029e+11     1.4881e-13   5.1221e+12  -6960.75   4820.31  23430.55    0.17567527
      0.034722222    0.0000000  -6927.138   -782.552      0.000    848.831  -7513.831      0.000   0.000000005     0.0000000      6971.1999     102.36337     -57.29578  288.8086965   1.57922e+11     1.3888e-13   4.7054e+12  -9523.50   1244.29  27411.66    0.20421998
      0.041666667    0.0000000  -5037.057  -4819.304      0.000   5227.474  -5463.670      0.000   0.000000004     0.0000000      6971.1999      83.71884     -57.29578  307.4532340   3.95227e+11     2.4599e-13   8.4887e+12  -7344.14  -6939.20  29651.42    0.22094799
      0.048611111    0.0000000  -1087.717  -6885.819      0.000   7469.013  -1179.841      0.000   0.000000004     0.0000000      6971.1998      65.07432     -57.29578  326.0977711   7.55109e+11     4.4457e-13   1.5418e+13    739.91  -8727.22  27921.37    0.20587065
      0.055555556    0.0000000   3306.305  -6137.261      0.000   6657.056   3586.332      0.000   0.000000002     0.0000000      6971.1998      46.42979     -57.29578  344.7423130   9.27176e+11     6.5177e-13   2.2568e+13   5414.23   -538.99  25637.03    0.18209392
      0.062500000    0.0000000   6348.638  -2879.658      0.000   3123.550   6886.335      0.000   0.000000001     0.0000000      6971.1998      27.78526     -57.29578    3.3868520   7.48173e+11     7.3248e-13   2.5185e+13    497.38   4323.49  24041.21    0.16982974
      0.069444444    0.0000000   6795.509   1555.213      0.000  -1686.931   7371.054      0.000   0.000000001     0.0000000      6971.1998     170.85936     -57.29578  202.0312948   7.13849e+11     5.0445e-13   1.7513e+13  -6041.20   2441.71  23055.64    0.16692941
      0.076388889    0.0000000   4464.228   5354.278      0.000  -5807.759   4842.326      0.000   0.000000002     0.0000000      6971.1998     170.49615     -57.29578  220.6758681   4.42288e+11     2.4486e-13   8.6255e+12  -5277.38  -7398.91  21361.51    0.16366639
      0.083333333    0.0000000    307.873   6964.398      0.000  -7554.248    333.949      0.000   0.000000003     0.0000000      6971.1997     151.85162     -57.29578  239.3204034   4.15171e+11     1.6664e-13   5.7858e+12   6472.62  -1292.57  19599.90    0.13842534
      0.090277778    0.0000000  -3974.346   5727.320      0.000  -6212.395  -4310.954      0.000   0.000000004     0.0000000      6971.1997     133.20708     -57.29578  257.9649295   3.02231e+11     1.6612e-13   5.7395e+12  -1790.30   9140.43  20185.77    0.15456642
