#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  |VxB0|_(V/m)
      0.000000000    0.0000000   6971.200      0.000      0.000     -0.000   1957.093   7303.969   0.000000000    75.0000000      6971.2000     -57.29578       0.00000    0.0000000   6.41721e+11     6.0450e-13   2.0853e+13  -7114.64   3008.41  22672.46    0.05408181
      0.006944444    0.0000000   5546.211   1093.098   4079.499  -4581.109   1557.042   5810.958   0.000000002    75.0000000      6971.2000     183.05851     360.00000  214.2305531   2.76881e+11     3.4118e-13   1.1838e+13 -38170.32  -7150.97  -7930.52    0.27048717
      0.013888889    0.0000000   1853.810   1739.314   6491.210  -7289.361    520.438   1942.301   0.000000003    75.0000000      6971.2000     201.70305       0.00000  232.8750763   2.66309e+11     1.5306e-13   4.8748e+12 -12282.61 -16131.52 -38594.22    0.32389857
      0.020833333    0.0000000  -2596.469   1674.461   6249.173  -7017.564   -728.932  -2720.411   0.000000004    75.0000000      6971.1999     220.34758       0.00000  251.5196092   7.87452e+10     1.1792e-13   3.3361e+12  21648.95 -15877.57 -31411.42    0.30210023
      0.027777778    0.0000000  -5985.254    925.051   3452.338  -3876.834  -1680.299  -6270.960   0.000000005    75.0000000      6971.1999     238.99211       0.00000  270.1641472   5.09150e+10     1.3136e-13   4.0036e+12  32451.77  -5549.57   9006.83    0.18581086
      0.034722222    0.0000000  -6927.138   -202.539   -755.887    848.831  -1944.723  -7257.804   0.000000005    75.0000000      6971.1999     257.63665       0.00000  288.8086718   1.88176e+11     1.3953e-13   4.7747e+12 -17875.40   2639.17  22862.19    0.11397524
      0.041666667    0.0000000  -5037.057  -1247.328  -4655.090   5227.474  -1414.102  -5277.500   0.000000004    75.0000000      6971.1999     276.28119     360.00000  307.4532033   1.95243e+11     2.4156e-13   8.4083e+12 -35177.46     42.43 -16883.42    0.27540198
      0.048611111    0.0000000  -1087.717  -1782.181  -6651.190   7469.013   -305.365  -1139.639   0.000000004    75.0000000      6971.1998     294.92572     360.00000  326.0977339   3.86333e+11     4.4675e-13   1.4854e+13  -9201.17  -6537.52 -45984.33    0.35156218
      0.055555556    0.0000000   3306.305  -1588.440  -5928.139   6657.056    928.211   3464.131   0.000000002    75.0000000      6971.1998     313.57025     360.00000  344.7422687   2.45352e+11     5.2834e-13   1.8198e+13  30838.89  -5217.82 -28444.88    0.29807657
      0.062500000    0.0000000   6348.638   -745.310  -2781.536   3123.550   1782.315   6651.689   0.000000001    75.0000000      6971.1998     332.21478     360.00000    3.3868092   4.73010e+11     7.0545e-13   2.4475e+13  23431.30   2792.38  13289.74    0.11722277
