#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  |VxB0|_(V/m)
      0.000000000    0.0000000   6943.246      0.000      0.000     -0.000   7595.750      0.000   0.005000000     0.0000000      6978.1363       0.00000     -57.29578    0.0000000   8.28717e+11     8.5407e-13   2.9292e+13  -7186.02   3054.79  22957.19    0.17054072
      0.006944444    0.0000000   5508.087   4239.025      0.000  -4609.560   6027.341      0.000   0.004999999     0.0000000      6978.1363       0.00000     -57.29578   37.5818884   5.68211e+11     4.1498e-13   1.4590e+13  -4037.17  -7566.45  20718.77    0.15677077
      0.013888889    0.0000000   1801.359   6732.120      0.000  -7301.109   1991.397      0.000   0.004999997     0.0000000      6978.1363       0.00001     -57.29578   75.0199202   4.21760e+11     1.8033e-13   6.2964e+12   6963.20   1726.49  19515.36    0.13996970
      0.020833333    0.0000000  -2645.121   6471.479      0.000  -6996.119  -2821.770      0.000   0.004999997     0.0000000      6978.1362       0.00003     -57.29578  112.2315862   3.01252e+11     1.2485e-13   4.2640e+12  -1400.01   9656.92  20796.94    0.16076673
      0.027777778    0.0000000  -6021.403   3585.489      0.000  -3866.826  -6456.086      0.000   0.004999998     0.0000000      6978.1362       0.00004     -57.29578  149.2280504   1.89298e+11     8.5220e-14   2.8337e+12  -6782.52   4729.46  23043.53    0.17168277
      0.034722222    0.0000000  -6973.039   -745.969      0.000    803.957  -7477.290      0.000   0.004999999     0.0000000      6978.1362       0.00005     -57.29578  186.1062790   1.34381e+11     7.2977e-14   2.3411e+12  -9271.84   1286.91  26835.09    0.19856488
      0.041666667    0.0000000  -5121.336  -4777.226      0.000   5155.384  -5488.944      0.000   0.005000001     0.0000000      6978.1362       0.00005     -57.29578  223.0090364   3.10861e+11     1.5181e-13   5.1217e+12  -7374.41  -6726.64  29196.44    0.21659278
      0.048611111    0.0000000  -1204.397  -6879.350      0.000   7444.728  -1265.590      0.000   0.005000002     0.0000000      6978.1362       0.00004     -57.29578  260.0696640   6.72785e+11     3.7122e-13   1.2851e+13    486.52  -8754.53  27828.92    0.20501921
      0.055555556    0.0000000   3199.563  -6183.182      0.000   6712.509   3511.260      0.000   0.005000002     0.0000000      6978.1361       0.00002     -57.29578  297.3598768   1.00961e+12     7.2570e-13   2.5110e+13   5495.83   -784.03  25792.56    0.18373071
      0.062500000    0.0000000   6288.427  -2951.240      0.000   3211.012   6879.732      0.000   0.005000001     0.0000000      6978.1361       0.00000     -57.29578  334.8587332   9.21410e+11     9.8914e-13   3.3842e+13    617.73   4323.75  24335.32    0.17266535
      0.069444444    0.0000000   6780.558   1497.995      0.000  -1630.427   7417.795      0.000   0.005000000     0.0000000      6978.1361       0.00000     -57.29578   12.4579551   9.12427e+11     7.1714e-13   2.4767e+13  -6020.30   2549.16  23345.10    0.16974463
      0.076388889    0.0000000   4470.404   5328.789      0.000  -5790.258   4895.328      0.000   0.004999998     0.0000000      6978.1361       0.00000     -57.29578   50.0061864   5.03897e+11     3.0764e-13   1.0857e+13  -5370.10  -7412.86  21520.08    0.16538631
      0.083333333    0.0000000    319.628   6969.038      0.000  -7550.024    384.064      0.000   0.004999997     0.0000000      6978.1360       0.00001     -57.29578   87.3740433   4.00709e+11     1.5411e-13   5.3361e+12   6444.85  -1341.61  19559.12    0.13809650
      0.090277778    0.0000000  -3964.434   5766.476      0.000  -6228.086  -4244.000      0.000   0.004999997     0.0000000      6978.1360       0.00003     -57.29578  124.5084326   2.58883e+11     1.1186e-13   3.7909e+12  -1642.47   8970.29  19939.71    0.15186124
      0.097222222    0.0000000  -6647.004   2230.295      0.000  -2404.224  -7127.577      0.000   0.004999998     0.0000000      6978.1360       0.00004     -57.29578  161.4516933   1.60185e+11     7.4195e-14   2.4151e+12  -8541.57   3598.71  22031.60    0.16750572
      0.104166667    0.0000000  -6655.825  -2203.971      0.000   2375.831  -7137.041      0.000   0.005000000     0.0000000      6978.1360       0.00005     -57.29578  198.3215183   1.54198e+11     8.4249e-14   2.7137e+12  -8202.51   -603.16  25323.01    0.18612684
      0.111111111    0.0000000  -3987.390  -5750.766      0.000   6211.016  -4268.722      0.000   0.005000001     0.0000000      6978.1360       0.00004     -57.29578  235.2638914   4.24124e+11     2.0655e-13   7.0568e+12  -6680.67  -7936.05  28938.74    0.21588115
      0.118055556    0.0000000    291.759  -6970.399      0.000   7551.349    353.866      0.000   0.005000002     0.0000000      6978.1359       0.00003     -57.29578  272.3968498   9.64479e+11     4.7141e-13   1.6328e+13   1341.14  -9242.66  28804.91    0.21341454
