#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  |VxB0|_(V/m)
      0.000000000    0.0000000   6971.200      0.000      0.000     -0.000      0.000   7561.625   0.000000000    90.0000000      6971.2000     180.00000       0.00000  180.0000000   6.41721e+11     6.0450e-13   2.0853e+13  -7114.64   3008.41  22672.46    0.06389080
      0.006944444    0.0000000   5546.211      0.000   4223.408  -4581.109      0.000   6015.947   0.000000002    90.0000000      6971.2000     183.05850       0.00000  214.2305628   3.00745e+11     3.8784e-13   1.3484e+13 -38718.23   2280.19  -9100.76    0.27603882
      0.013888889    0.0000000   1853.810      0.000   6720.195  -7289.361      0.000   2010.818   0.000000003    90.0000000      6971.2000     201.70304     360.00000  232.8750886   2.77077e+11     1.8523e-13   5.9220e+12 -13484.42    485.57 -42592.10    0.33766037
      0.020833333    0.0000000  -2596.469      0.000   6469.620  -7017.564     -0.000  -2816.376   0.000000004    90.0000000      6971.1999     220.34757       0.00000  251.5196273   7.56785e+10     1.0984e-13   2.8988e+12  22912.75  -1968.96 -37819.84    0.33031467
      0.027777778    0.0000000  -5985.254      0.000   3574.123  -3876.834     -0.000  -6492.175   0.000000005    90.0000000      6971.1999     238.99210       0.00000  270.1641602   5.66250e+10     1.2698e-13   3.7783e+12  34429.11   -442.87   7640.30    0.19435644
      0.034722222    0.0000000  -6927.138     -0.000   -782.552    848.831     -0.000  -7513.831   0.000000005    90.0000000      6971.1999     257.63663       0.00000  288.8086965   1.88140e+11     1.3805e-13   4.7251e+12 -17807.24   3176.41  22480.27    0.12057233
      0.041666667    0.0000000  -5037.057     -0.000  -4819.304   5227.474     -0.000  -5463.670   0.000000004    90.0000000      6971.1999     276.28116       0.00000  307.4532340   1.78064e+11     2.0333e-13   7.0864e+12 -29650.50   9343.53 -14861.14    0.25119008
      0.048611111    0.0000000  -1087.717     -0.000  -6885.819   7469.013     -0.000  -1179.841   0.000000004    90.0000000      6971.1998     294.92568       0.00000  326.0977711   4.36160e+11     3.2285e-13   1.0945e+13  -8317.85  11539.55 -38273.90    0.30835444
      0.055555556    0.0000000   3306.305     -0.000  -6137.261   6657.056      0.000   3586.332   0.000000002    90.0000000      6971.1998     313.57021       0.00000  344.7423130   2.70814e+11     4.8722e-13   1.6807e+13  27217.85   9446.92 -26203.66    0.28212606
      0.062500000    0.0000000   6348.638     -0.000  -2879.658   3123.550      0.000   6886.335   0.000000001    90.0000000      6971.1998     332.21474       0.00000    3.3868520   4.47852e+11     6.5963e-13   2.2925e+13  22477.04   5423.88  12769.46    0.12578216
      0.069444444    0.0000000   6795.509      0.000   1555.213  -1686.931      0.000   7371.054   0.000000001    90.0000000      6971.1998     170.85936       0.00000  202.0312948   3.97527e+11     5.2384e-13   1.8124e+13 -19231.42   3986.54  18757.12    0.11783639
      0.076388889    0.0000000   4464.228      0.000   5354.278  -5807.759      0.000   4842.326   0.000000002    90.0000000      6971.1998     189.50385       0.00000  220.6758681   2.84681e+11     3.1432e-13   1.0745e+13 -35153.89   4461.08 -22133.68    0.30144352
      0.083333333    0.0000000    307.873      0.000   6964.398  -7554.248      0.000    333.949   0.000000003    90.0000000      6971.1997     208.14838       0.00000  239.3204034   3.04471e+11     1.3845e-13   4.1239e+12  -1171.16    267.90 -43924.48    0.33221503
      0.090277778    0.0000000  -3974.346      0.000   5727.320  -6212.395     -0.000  -4310.954   0.000000004    90.0000000      6971.1997     226.79292       0.00000  257.9649295   4.75439e+10     1.1433e-13   3.0017e+12  32603.48  -1817.29 -23928.00    0.28958499
      0.097222222    0.0000000  -6631.767      0.000   2148.789  -2330.781     -0.000  -7193.444   0.000000005    90.0000000      6971.1997     245.43746       0.00000  276.6094581   7.18009e+10     1.3114e-13   4.1979e+12  18866.23   -387.71  21624.67    0.08604831
      0.104166667    0.0000000  -6577.976     -0.000  -2308.214   2503.708     -0.000  -7135.098   0.000000005    90.0000000      6971.1997     264.08199       0.00000  295.2539996   1.19675e+11     1.5838e-13   5.4980e+12 -23554.81   3342.22   7544.00    0.15295484
