#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  |VxB0|_(V/m)
      0.000000000    0.0000000   6978.136      0.000      0.000     -0.000   1956.120   7300.337   0.000000000    75.0000000      6978.1363     180.00000       0.00000  180.0000000   6.03935e+11     5.5534e-13   1.9175e+13  -7116.30   3009.48  22679.06    0.05406287
      0.006944444    0.0000000   5555.828   1092.791   4078.353  -4572.995   1557.416   5812.357   0.000000002    75.0000000      6978.1363     183.05115       0.00000  214.1823284   2.67130e+11     3.1144e-13   1.0781e+13 -38178.31  -7131.12  -7862.58    0.27018526
      0.013888889    0.0000000   1868.704   1740.110   6494.178  -7281.823    523.837   1954.987   0.000000003    75.0000000      6978.1363     201.66788       0.00000  232.7990713   2.66537e+11     1.3923e-13   4.3881e+12 -12396.92 -16129.23 -38586.44    0.32390808
      0.020833333    0.0000000  -2580.192   1678.078   6262.671  -7022.238   -723.283  -2699.327   0.000000004    75.0000000      6978.1362     220.28463       0.00000  251.4157982   7.85121e+10     1.0735e-13   2.9750e+12  21511.07 -15898.91 -31516.84    0.30213624
      0.027777778    0.0000000  -5977.280    931.982   3478.205  -3900.059  -1675.558  -6253.269   0.000000005    75.0000000      6978.1362     238.90138       0.00000  270.0325295   5.04063e+10     1.1857e-13   3.5492e+12  32603.41  -5634.74   8722.75    0.18713516
      0.034722222    0.0000000  -6937.749   -194.033   -724.140    811.968  -1944.798  -7258.085   0.000000005    75.0000000      6978.1362     257.51813       0.00000  288.6492569   1.80552e+11     1.2484e-13   4.2439e+12 -17517.62   2634.02  23076.87    0.11204990
      0.041666667    0.0000000  -5070.065  -1240.951  -4631.292   5192.998  -1421.247  -5304.165   0.000000004    75.0000000      6978.1362     276.13488       0.00000  307.2659843   1.88719e+11     2.1989e-13   7.6610e+12 -35246.46     92.53 -16534.75    0.27436095
      0.048611111    0.0000000  -1135.584  -1781.999  -6650.512   7457.118   -318.328  -1188.017   0.000000004    75.0000000      6978.1362     294.75163       0.00000  325.8827139   3.85893e+11     4.0997e-13   1.3689e+13  -9659.29  -6473.92 -45866.58    0.35109866
      0.055555556    0.0000000   3261.814  -1596.621  -5958.671   6681.367    914.356   3412.422   0.000000002    75.0000000      6978.1361     313.36839       0.00000  344.4994346   2.41830e+11     4.8695e-13   1.6801e+13  30591.62  -5316.97 -28955.58    0.29968959
      0.062500000    0.0000000   6329.543   -760.385  -2837.795   3181.977   1774.305   6621.797   0.000000001    75.0000000      6978.1361     331.98519       0.00000    3.1161065   4.35839e+11     6.4940e-13   2.2568e+13  23880.34   2722.57  12871.74    0.12008377
      0.069444444    0.0000000   6817.053    385.820   1439.899  -1614.537   1910.965   7131.817   0.000000001    75.0000000      6978.1361     170.60156       0.00000  201.7332146   3.78288e+11     4.6923e-13   1.6247e+13 -18755.86   2861.14  19273.21    0.10572489
      0.076388889    0.0000000   4525.612   1374.746   5130.623  -5752.890   1268.625   4734.573   0.000000002    75.0000000      6978.1361     189.21850       0.00000  220.3497615   2.41038e+11     2.3414e-13   7.9275e+12 -36194.45  -7792.05 -21325.92    0.30262990
      0.083333333    0.0000000    389.319   1803.261   6729.863  -7546.094    109.134    407.295   0.000000003    75.0000000      6978.1360     207.83527       0.00000  238.9664659   3.24445e+11     1.1943e-13   3.6228e+12     -3.87 -15092.77 -40480.69    0.32034559
      0.090277778    0.0000000  -3905.679   1496.683   5585.696  -6263.156  -1094.845  -4086.016   0.000000004    75.0000000      6978.1360     226.45203       0.00000  257.5831891   5.43216e+10     1.0867e-13   2.9653e+12  30301.40 -12517.61 -20170.09    0.27019194
      0.097222222    0.0000000  -6608.539    579.986   2164.536  -2427.061  -1852.514  -6913.675   0.000000005    75.0000000      6978.1360     245.06877       0.00000  276.1999272   6.77112e+10     1.2022e-13   3.8240e+12  18408.10  -2115.55  21515.96    0.09291026
      0.104166667    0.0000000  -6617.447   -573.141  -2138.991   2398.418  -1855.011  -6922.995   0.000000005    75.0000000      6978.1360     263.68552       0.00000  294.8166572   1.30650e+11     1.4908e-13   5.1519e+12 -23992.52   1549.16   9419.14    0.14686744
      0.111111111    0.0000000  -3928.773  -1492.628  -5570.564   6246.189  -1101.319  -4110.177   0.000000004    75.0000000      6978.1360     282.30228       0.00000  313.4333779   2.61622e+11     2.6317e-13   9.0692e+12 -27821.32    488.30 -20675.82    0.24277923
