#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  |VxB0|_(V/m)
      0.000000000    0.0000000   6978.136      0.000      0.000     -0.000      0.000   7557.865   0.000000000    90.0000000      6978.1363     180.00000       0.00000  180.0000000   6.03935e+11     5.5534e-13   1.9175e+13  -7116.30   3009.48  22679.06    0.06388531
      0.006944444    0.0000000   5555.828      0.000   4222.222  -4572.995      0.000   6017.395   0.000000002    90.0000000      6978.1363     183.05116       0.00000  214.1823198   2.90010e+11     3.5463e-13   1.2304e+13 -38724.04   2282.82  -9029.18    0.27573402
      0.013888889    0.0000000   1868.704      0.000   6723.268  -7281.823      0.000   2023.952   0.000000003    90.0000000      6978.1363     201.66789       0.00000  232.7990603   2.77777e+11     1.6901e-13   5.3514e+12 -13599.56    493.90 -42577.86    0.33764744
      0.020833333    0.0000000  -2580.192      0.000   6483.594  -7022.238     -0.000  -2794.549   0.000000004    90.0000000      6978.1362     220.28464       0.00000  251.4157948   7.55170e+10     1.0030e-13   2.5799e+12  22753.33  -1966.29 -37934.58    0.33035003
      0.027777778    0.0000000  -5977.280      0.000   3600.903  -3900.059     -0.000  -6473.861   0.000000005    90.0000000      6978.1362     238.90138     360.00000  270.0325279   5.57963e+10     1.1464e-13   3.3418e+12  34596.11   -460.39   7329.02    0.19583796
      0.034722222    0.0000000  -6937.749     -0.000   -749.685    811.968     -0.000  -7514.123   0.000000005    90.0000000      6978.1362     257.51812       0.00000  288.6492636   1.80531e+11     1.2359e-13   4.2026e+12 -17460.69   3136.99  22713.35    0.11863201
      0.041666667    0.0000000  -5070.065     -0.000  -4794.667   5192.998     -0.000  -5491.275   0.000000004    90.0000000      6978.1362     276.13487     360.00000  307.2659949   1.72430e+11     1.8513e-13   6.4569e+12 -29746.62   9301.73 -14586.57    0.25053990
      0.048611111    0.0000000  -1135.584     -0.000  -6885.117   7457.118     -0.000  -1229.926   0.000000004    90.0000000      6978.1362     294.75162     360.00000  325.8827268   4.35072e+11     2.9503e-13   1.0037e+13  -8680.54  11549.59 -38129.64    0.30772917
      0.055555556    0.0000000   3261.814     -0.000  -6168.870   6681.367      0.000   3532.799   0.000000002    90.0000000      6978.1361     313.36835     360.00000  344.4994665   2.66071e+11     4.4777e-13   1.5473e+13  26972.13   9493.16 -26649.32    0.28343088
      0.062500000    0.0000000   6329.543     -0.000  -2937.902   3181.977      0.000   6855.389   0.000000001    90.0000000      6978.1361     331.98509     360.00000    3.1162096   4.12726e+11     6.0655e-13   2.1115e+13  22884.79   5470.96  12345.93    0.12836918
      0.069444444    0.0000000   6817.053      0.000   1490.693  -1614.537      0.000   7383.400   0.000000001    90.0000000      6978.1361     170.60181     360.00000  201.7329700   3.89017e+11     4.8358e-13   1.6731e+13 -18619.38   3979.33  19111.01    0.11456537
      0.076388889    0.0000000   4525.612      0.000   5311.611  -5752.890      0.000   4901.591   0.000000002    90.0000000      6978.1361     189.21857     360.00000  220.3496900   2.73271e+11     2.8980e-13   9.8795e+12 -35404.92   4487.84 -21385.86    0.29930575
      0.083333333    0.0000000    389.319      0.000   6967.267  -7546.094      0.000    421.663   0.000000003    90.0000000      6978.1360     207.83530     360.00000  238.9664340   2.93046e+11     1.2745e-13   3.7469e+12  -1863.57    363.21 -43940.40    0.33237771
      0.090277778    0.0000000  -3905.679      0.000   5782.738  -6263.156     -0.000  -4230.155   0.000000004    90.0000000      6978.1360     226.45206     360.00000  257.5831556   4.69587e+10     1.0412e-13   2.6587e+12  32206.26  -1837.37 -24710.15    0.29138694
      0.097222222    0.0000000  -6608.539      0.000   2240.892  -2427.061     -0.000  -7157.563   0.000000005    90.0000000      6978.1360     245.06880     360.00000  276.1998890   6.69832e+10     1.1789e-13   3.7116e+12  19935.86   -422.89  21004.71    0.09238587
      0.104166667    0.0000000  -6617.447     -0.000  -2214.446   2398.418     -0.000  -7167.212   0.000000005    90.0000000      6978.1360     263.68555     360.00000  294.8166219   1.18703e+11     1.4104e-13   4.8715e+12 -23322.31   3203.65   8294.15    0.15090430
      0.111111111    0.0000000  -3928.773     -0.000  -5767.072   6246.189     -0.000  -4255.168   0.000000004    90.0000000      6978.1360     282.30229     360.00000  313.4333594   2.08983e+11     2.0647e-13   7.1726e+12 -22788.34   8772.04 -16597.80    0.21231579
      0.118055556    0.0000000    361.453     -0.000  -6968.768   7547.720      0.000    391.482   0.000000003    90.0000000      6978.1359     300.91903     360.00000  332.0501037   3.70366e+11     3.5653e-13   1.1932e+13   -693.12  10545.53 -41493.75    0.32288612
      0.125000000    0.0000000   4504.335     -0.000  -5329.667   5772.445      0.000   4878.546   0.000000002    90.0000000      6978.1359     319.53576     360.00000  350.6668543   2.32267e+11     5.0630e-13   1.7581e+13  34071.74   7895.28 -18446.86    0.28043444
      0.131944444    0.0000000   6811.037     -0.000  -1517.943   1644.051      0.000   7376.885   0.000000001    90.0000000      6978.1359     338.15247     360.00000    9.2836281   7.26933e+11     6.1658e-13   2.1330e+13  14816.93   4889.64  21032.42    0.08935670
      0.138888889    0.0000000   6341.241      0.000   2912.566  -3154.536      0.000   6868.059   0.000000001    90.0000000      6978.1359     176.76929     360.00000  207.9002820   2.47252e+11     4.1095e-13   1.4293e+13 -26862.36   4128.12  10319.04    0.15757688
      0.145833333    0.0000000   3286.457      0.000   6155.776  -6667.186      0.000   3559.489   0.000000002    90.0000000      6978.1359     195.38601     360.00000  226.5170473   2.68175e+11     2.1796e-13   7.1234e+12 -28411.65   3773.78 -31140.38    0.31045779
