#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  |VxB0|_(V/m)
      0.000000000    0.0000000   6943.246      0.000      0.000     -0.000   7595.750      0.000   0.005000000     0.0000000      6978.1363       0.00000     -57.29578    0.0000000   8.28717e+11     8.5407e-13   2.9292e+13  -7205.42   3067.49  23034.94    0.17110777
      0.006944444    0.0000000   5508.087   4239.025      0.000  -4609.559   6027.341      0.000   0.004999998     0.0000000      6978.1363       0.00000     -57.29578   37.5818852   5.68207e+11     4.1498e-13   1.4590e+13  -4048.35  -7595.19  20786.49    0.15728522
      0.013888889    0.0000000   1801.360   6732.120      0.000  -7301.108   1991.398      0.000   0.004999997     0.0000000      6978.1363       0.00001     -57.29578   75.0199139   4.21760e+11     1.8033e-13   6.2964e+12   6997.19   1748.06  19578.10    0.14044280
      0.020833333    0.0000000  -2645.119   6471.479      0.000  -6996.119  -2821.768      0.000   0.004999997     0.0000000      6978.1362       0.00003     -57.29578  112.2315769   3.01254e+11     1.2485e-13   4.2640e+12  -1414.65   9707.96  20868.20    0.16137697
      0.027777778    0.0000000  -6021.403   3585.490      0.000  -3866.827  -6456.085      0.000   0.004999998     0.0000000      6978.1362       0.00004     -57.29578  149.2280380   1.89299e+11     8.5220e-14   2.8337e+12  -6818.81   4746.09  23124.10    0.17230867
      0.034722222    0.0000000  -6973.039   -745.968      0.000    803.954  -7477.290      0.000   0.004999999     0.0000000      6978.1362       0.00005     -57.29578  186.1062635   1.34381e+11     7.2977e-14   2.3411e+12  -9310.26   1291.19  26932.41    0.19929578
      0.041666667    0.0000000  -5121.338  -4777.224      0.000   5155.382  -5488.945      0.000   0.005000001     0.0000000      6978.1362       0.00005     -57.29578  223.0090177   3.10860e+11     1.5181e-13   5.1217e+12  -7398.96  -6752.77  29302.95    0.21738149
      0.048611111    0.0000000  -1204.400  -6879.350      0.000   7444.727  -1265.593      0.000   0.005000002     0.0000000      6978.1362       0.00004     -57.29578  260.0696422   6.72785e+11     3.7122e-13   1.2851e+13    488.94  -8783.00  27925.89    0.20572922
      0.055555556    0.0000000   3199.560  -6183.183      0.000   6712.510   3511.256      0.000   0.005000002     0.0000000      6978.1361       0.00002     -57.29578  297.3598516   1.00961e+12     7.2570e-13   2.5110e+13   5512.03   -779.26  25880.37    0.18434934
      0.062500000    0.0000000   6288.426  -2951.243      0.000   3211.015   6879.730      0.000   0.005000001     0.0000000      6978.1361       0.00000     -57.29578  334.8587047   9.21409e+11     9.8914e-13   3.3842e+13    616.99   4335.99  24416.88    0.17324461
      0.069444444    0.0000000   6780.559   1497.991      0.000  -1630.423   7417.795      0.000   0.005000000     0.0000000      6978.1361       0.00000     -57.29578   12.4579235   9.12424e+11     7.1714e-13   2.4767e+13  -6034.88   2558.95  23423.53    0.17030578
      0.076388889    0.0000000   4470.408   5328.786      0.000  -5790.255   4895.331      0.000   0.004999998     0.0000000      6978.1361       0.00000     -57.29578   50.0061517   5.03900e+11     3.0764e-13   1.0857e+13  -5388.99  -7438.29  21591.72    0.16594021
      0.083333333    0.0000000    319.632   6969.037      0.000  -7550.023    384.069      0.000   0.004999997     0.0000000      6978.1360       0.00001     -57.29578   87.3740057   4.00709e+11     1.5411e-13   5.3361e+12   6474.98  -1335.84  19622.01    0.13853667
      0.090277778    0.0000000  -3964.430   5766.478      0.000  -6228.088  -4243.995      0.000   0.004999997     0.0000000      6978.1360       0.00003     -57.29578  124.5083921   2.58882e+11     1.1186e-13   3.7909e+12  -1660.78   9018.22  20005.80    0.15242506
      0.097222222    0.0000000  -6647.002   2230.301      0.000  -2404.229  -7127.574      0.000   0.004999998     0.0000000      6978.1360       0.00004     -57.29578  161.4516499   1.60186e+11     7.4195e-14   2.4151e+12  -8589.06   3611.33  22108.63    0.16813672
      0.104166667    0.0000000  -6655.827  -2203.965      0.000   2375.825  -7137.042      0.000   0.005000000     0.0000000      6978.1360       0.00005     -57.29578  198.3214718   1.54198e+11     8.4249e-14   2.7137e+12  -8235.67   -607.60  25413.40    0.18680054
      0.111111111    0.0000000  -3987.395  -5750.762      0.000   6211.012  -4268.727      0.000   0.005000001     0.0000000      6978.1360       0.00004     -57.29578  235.2638416   4.24122e+11     2.0655e-13   7.0568e+12  -6704.74  -7968.99  29045.08    0.21668115
      0.118055556    0.0000000    291.753  -6970.400      0.000   7551.348    353.858      0.000   0.005000002     0.0000000      6978.1359       0.00003     -57.29578  272.3967966   9.64480e+11     4.7141e-13   1.6328e+13   1345.80  -9273.03  28907.03    0.21416589
      0.125000000    0.0000000   4448.992  -5346.818      0.000   5809.759   4871.987      0.000   0.005000002     0.0000000      6978.1359       0.00001     -57.29578  309.7632495   1.00915e+12     8.4712e-13   2.9191e+13   6707.45  -1750.82  26684.95    0.19298445
      0.131944444    0.0000000   6774.484  -1525.367      0.000   1660.213   7411.151      0.000   0.005000001     0.0000000      6978.1359       0.00000     -57.29578  347.3106913   8.61542e+11     9.5736e-13   3.2672e+13    887.28   4161.99  25006.06    0.17725475
      0.138888889    0.0000000   6300.230   2925.817      0.000  -3183.378   6892.632      0.000   0.004999999     0.0000000      6978.1359       0.00001     -57.29578   24.9100764   8.81965e+11     5.6696e-13   1.9765e+13  -5117.13   2115.91  23682.25    0.16990625
      0.145833333    0.0000000   3224.319   6170.169      0.000  -6698.501   3538.197      0.000   0.004999998     0.0000000      6978.1359       0.00000     -57.29578   62.4099772   5.56266e+11     2.3291e-13   8.2060e+12  -5538.58  -6662.39  22360.18    0.16901864
      0.152777778    0.0000000  -1176.902   6883.967      0.000  -7449.871  -1235.861      0.000   0.004999997     0.0000000      6978.1358       0.00002     -57.29578   99.7016706   2.99433e+11     1.3844e-13   4.7587e+12   6083.78  -4414.81  19984.01    0.14569012
      0.159722222    0.0000000  -5102.263   4797.452      0.000  -5177.282  -5468.436      0.000   0.004999998     0.0000000      6978.1358       0.00003     -57.29578  136.7636056   1.89641e+11     9.7914e-14   3.2835e+12   -704.72   7956.49  19434.22    0.14274297
      0.166666667    0.0000000  -6970.015    773.569      0.000   -833.703  -7474.048      0.000   0.004999999     0.0000000      6978.1358       0.00004     -57.29578  173.6669793   1.36323e+11     6.8594e-14   2.1848e+12  -9404.53   2624.73  21250.54    0.16354749
      0.173611111    0.0000000  -6035.631  -3561.625      0.000   3841.051  -6471.364      0.000   0.005000000     0.0000000      6978.1358       0.00005     -57.29578  210.5448959   2.01259e+11     1.0758e-13   3.5226e+12  -7250.09  -3023.03  23967.01    0.17674406
      0.180555556    0.0000000  -2670.928  -6461.009      0.000   6984.673  -2849.616      0.000   0.005000002     0.0000000      6978.1358       0.00004     -57.29578  247.5402394   5.57009e+11     2.7609e-13   9.5003e+12  -5596.87  -8474.82  28154.55    0.21006094
