#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  |VxB0|_(V/m)
      0.000000000    0.0000000   6943.246      0.000      0.000     -0.000      0.000   7595.750   0.005000000    90.0000000      6978.1363       0.00000       0.00000    0.0000000   8.28717e+11     8.5407e-13   2.9292e+13  -7205.42   3067.49  23034.94    0.06504717
      0.006944444    0.0000000   5508.087      0.000   4239.025  -4609.559      0.000   6027.341   0.004999998    90.0000000      6978.1363     360.00000       0.00000   37.5818852   3.37890e+11     5.0766e-13   1.7735e+13 -39255.90   2311.70  -9623.06    0.28238608
      0.013888889    0.0000000   1801.360      0.000   6732.120  -7301.108      0.000   1991.398   0.004999997    90.0000000      6978.1363     359.99999     360.00000   75.0199139   2.70740e+11     1.8889e-13   6.0484e+12 -13082.91    452.27 -42868.27    0.33910928
      0.020833333    0.0000000  -2645.119      0.000   6471.479  -6996.119     -0.000  -2821.768   0.004999997    90.0000000      6978.1362     359.99997     360.00000  112.2315769   7.11411e+10     8.4900e-14   2.0620e+12  23163.19  -1952.34 -37381.15    0.32726060
      0.027777778    0.0000000  -6021.403      0.000   3585.490  -3866.827     -0.000  -6456.085   0.004999998    90.0000000      6978.1362     359.99996     360.00000  149.2280380   5.08523e+10     7.5643e-14   2.0058e+12  33896.48   -421.61   7659.40    0.18968560
      0.034722222    0.0000000  -6973.039     -0.000   -745.968    803.954     -0.000  -7477.290   0.004999999    90.0000000      6978.1362     359.99995     360.00000  186.1062635   1.53716e+11     7.2598e-14   2.3701e+12 -17075.65   3072.97  22412.52    0.11546201
      0.041666667    0.0000000  -5121.338     -0.000  -4777.224   5155.382     -0.000  -5488.945   0.005000001    90.0000000      6978.1362     359.99995     360.00000  223.0090177   1.56366e+11     1.3263e-13   4.6224e+12 -29567.98   9103.71 -14105.47    0.24615440
      0.048611111    0.0000000  -1204.400     -0.000  -6879.350   7444.727     -0.000  -1265.593   0.005000002    90.0000000      6978.1362     359.99996       0.00000  260.0696422   4.33798e+11     2.7261e-13   9.3007e+12  -9168.99  11516.70 -37810.81    0.30581270
      0.055555556    0.0000000   3199.560     -0.000  -6183.183   6712.510      0.000   3511.256   0.005000002    90.0000000      6978.1361     359.99998     360.00000  297.3598516   2.84778e+11     5.3919e-13   1.8528e+13  26863.92   9628.11 -27342.53    0.28807376
      0.062500000    0.0000000   6288.426     -0.000  -2951.243   3211.015      0.000   6879.730   0.005000001    90.0000000      6978.1361     360.00000     360.00000  334.8587047   5.31866e+11     8.8077e-13   3.0418e+13  23402.64   5570.66  12295.18    0.13236242
      0.069444444    0.0000000   6780.559      0.000   1497.991  -1630.423      0.000   7417.795   0.005000000    90.0000000      6978.1361       0.00000     360.00000   12.4579235   5.16748e+11     7.4228e-13   2.5607e+13 -19028.51   4039.24  19327.09    0.11763533
      0.076388889    0.0000000   4470.408      0.000   5328.786  -5790.255      0.000   4895.331   0.004999998    90.0000000      6978.1361     360.00000     360.00000   50.0061517   2.99514e+11     3.8858e-13   1.3396e+13 -35588.29   4531.76 -22150.05    0.30519591
      0.083333333    0.0000000    319.632      0.000   6969.037  -7550.023      0.000    384.069   0.004999997    90.0000000      6978.1360     359.99999     360.00000   87.3740057   3.02318e+11     1.2928e-13   3.8063e+12  -1270.18    280.36 -43967.85    0.33245430
      0.090277778    0.0000000  -3964.430      0.000   5766.478  -6228.088     -0.000  -4243.995   0.004999997    90.0000000      6978.1360     359.99997     360.00000  124.5083921   4.45508e+10     8.1137e-14   1.8993e+12  32215.03  -1792.13 -23989.06    0.28650160
      0.097222222    0.0000000  -6647.002      0.000   2230.301  -2404.229     -0.000  -7127.574   0.004999998    90.0000000      6978.1360     359.99996     360.00000  161.4516499   6.26292e+10     7.2582e-14   2.1182e+12  19368.36   -387.88  20825.81    0.08868818
      0.104166667    0.0000000  -6655.827     -0.000  -2203.965   2375.825     -0.000  -7137.042   0.005000000    90.0000000      6978.1360     359.99995     360.00000  198.3214718   1.03752e+11     8.6141e-14   2.8964e+12 -22940.37   3137.43   8400.57    0.14736146
      0.111111111    0.0000000  -3987.395     -0.000  -5750.762   6211.012     -0.000  -4268.727   0.005000001    90.0000000      6978.1360     359.99996     360.00000  235.2638416   1.94595e+11     1.6014e-13   5.5858e+12 -22691.88   8623.42 -16196.19    0.20890200
      0.118055556    0.0000000    291.753     -0.000  -6970.400   7551.348      0.000    353.858   0.005000002    90.0000000      6978.1359     359.99997     360.00000  272.3967966   3.66851e+11     3.6036e-13   1.2049e+13  -1362.55  10561.19 -41362.09    0.32189884
      0.125000000    0.0000000   4448.992     -0.000  -5346.818   5809.759      0.000   4871.987   0.005000002    90.0000000      6978.1359     359.99999     360.00000  309.7632495   2.58648e+11     6.5428e-13   2.2570e+13  34286.00   8019.44 -19181.21    0.28628750
      0.131944444    0.0000000   6774.484     -0.000  -1525.367   1660.213      0.000   7411.151   0.005000001    90.0000000      6978.1359       0.00000     360.00000  347.3106913   9.84169e+11     9.2820e-13   3.1820e+13  15197.16   4965.63  21284.24    0.09198333
      0.138888889    0.0000000   6300.230      0.000   2925.817  -3183.378      0.000   6892.632   0.004999999    90.0000000      6978.1359       0.00001     360.00000   24.9100764   3.08142e+11     6.1602e-13   2.1461e+13 -27390.06   4190.61  10227.79    0.16188853
      0.145833333    0.0000000   3224.319      0.000   6170.169  -6698.501      0.000   3538.197   0.004999998    90.0000000      6978.1359     360.00000     360.00000   62.4099772   2.82693e+11     2.6896e-13   8.9239e+12 -28217.30   3765.82 -31867.12    0.31497003
      0.152777778    0.0000000  -1176.902      0.000   6883.967  -7449.871     -0.000  -1235.861   0.004999997    90.0000000      6978.1358     359.99998     360.00000   99.7016706   2.44038e+11     1.0372e-13   2.7976e+12  11927.31   -227.68 -41128.79    0.32116799
