198808  10    11  12  11   9  10  11   9  11  0.55  3
198809  12    15  13  12  10  13  10  11  14  0.58  3
198810  13    12  11  12  15  14  12  14  11  0.54  2
198811  12    12  11  12  13  13  13  14  10  0.62  3
198812  13    11  13  12  14  14  14  16  12  0.67  3
198901  19    19  17  16  14  19  22  22  21  0.87  4
198902  16    19  18  13  13  15  14  16  16  0.78  4
198903  41    42  40  43  37  39  41  44  45  1.26  6
198904  23    27  24  20  15  19  23  28  25  0.95  4
198905  16    16  15  15  12  17  20  18  18  0.72  3
198906  17    19  16  14  15  17  17  21  16  0.73  3
198907   8     7   8   6   5   7   9  10   8  0.38  2
198908  20    23  22  20  16  21  15  19  22  0.80  4
198909  17    17  22  17  13  13  17  18  20  0.71  3
198910  21    21  22  18  21  23  20  26  18  0.76  3
198911  19    21  19  17  18  17  19  22  21  0.81  4
198912  16    18  16  13  14  14  16  20  20  0.75  3
199001  14    20  13  11  12  13  12  15  15  0.73  3
199002  23    28  27  21  18  19  20  25  26  1.01  5
199003  23    30  20  21  21  21  24  21  26  0.95  4
199004  27    24  32  33  28  30  25  26  21  1.01  5
199005  16    13  17  16  15  15  16  16  19  0.72  3
199006  16    17  16  13  12  19  19  15  18  0.58  3
199007  14    12  14  14  10  13  13  18  16  0.53  2
199008  19    15  17  18  18  25  21  19  15  0.79  4
199009  14    15  13  11  13  16  13  12  14  0.71  3
199010  15    17  16  15  12  13  13  15  14  0.69  3
199011   9    11  10   7   6   9  11  10   8  0.43  2
199012   7     7   8   6   7   7   8   7   7  0.34  1
199101   8    10   9   8   7   7   8   9   9  0.43  2
199102  10    12   9   9  10   9  10  11  13  0.54  2
199103  27    26  39  25  24  30  19  23  30  0.89  4
199104  17    17  18  14  18  20  16  14  15  0.74  3
199105  18    19  15  16  17  19  22  19  15  0.78  3
199106  44    38  35  42  39  45  56  55  44  1.24  6
199107  27    22  21  28  25  31  36  29  26  0.92  4
199108  30    26  27  32  30  38  28  33  30  1.15  5
199109  20    22  24  19  18  19  18  22  22  0.88  4
199110  31    31  32  29  26  29  33  35  32  1.07  5
199111  33    36  32  29  27  29  32  37  38  1.11  5
199112  15    16  14  12  13  14  15  15  18  0.73  3
199201  14    16  17  13  13  13  13  13  14  0.73  3
199202  31    32  33  34  30  29  30  33  31  1.04  5
199203  14    13  15  13  15  13  14  15  12  0.74  3
199204  11    11  12  13  11  13  11  10  10  0.57  3
199205  21    17  18  20  20  23  22  26  19  0.73  3
199206  15    17  17  13  10  15  16  17  16  0.70  3
199207  10     8  10   9   9  11  10  11  10  0.48  2
199208  15    17  20  13  12  14  14  14  12  0.66  3
199209  25    24  29  29  25  21  23  28  22  0.89  4
199210  16    19  16  13  14  17  15  16  14  0.75  3
199211  14    14  14  14  15  15  14  12  17  0.72  3
199212  13    14  12  11  10  14  17  15  16  0.67  3
199301  17    18  18  16  16  17  16  17  19  0.83  4
199302  16    15  17  16  15  16  17  15  15  0.73  3
199303  24    27  25  27  23  21  26  23  25  1.05  5
199304  19    17  22  18  14  15  20  23  22  0.81  4
199305  12    13  15  12  11  12   9  14  13  0.56  3
199306  12    11  11  13  13  11  10  15  15  0.57  3
199307  10    11  11   8   9  10   9  10  10  0.49  2
199308  12    13  11  10  11  10  13  13  13  0.51  2
199309  15    16  16  15  12  13  14  14  18  0.64  3
199310  14    14  16  14  15  15  14  12  14  0.65  3
199311  15    17  15  11  11  13  16  17  17  0.64  3
199312  14    17  15  13  13  13  13  14  19  0.65  3
199401  15    16  16  14  11  16  16  15  14  0.72  3
199402  30    32  27  21  30  32  33  31  30  1.05  5
199403  24    25  26  24  21  22  25  23  29  1.00  5
199404  29    31  34  32  27  22  23  30  31  0.98  4
199405  26    25  31  23  19  21  28  28  31  1.04  5
199406  14    13  13  13  15  13  15  16  17  0.74  4
199407  11    14  12   9   9  11  10   9  15  0.55  2
199408   8     9   9   8   7   8   8   9   9  0.39  2
199409  12    13  14  12  13  10  10  12  12  0.58  3
199410  22    22  23  25  22  23  22  23  20  0.86  4
199411  14    12  17  15  16  14  13  12  11  0.66  3
199412  13    15  13  14  10  13  13  13  15  0.69  3
199501  14    16  15  12  12  12  11  15  17  0.61  3
199502  15    16  16  15  13  15  15  16  15  0.68  3
199503  15    17  15  13  12  14  16  16  17  0.67  3
199504  16    15  18  16  13  15  19  17  13  0.66  3
199505  19    17  21  17  18  19  17  19  19  0.78  4
199506  11    10  12  11   9  12  11  12  10  0.52  2
199507   8    10   7   7   6   9   9   8   9  0.36  2
199508   9    11  10   9   8   8   7  10  11  0.48  2
199509  13    13  13  13  13  11  13  14  12  0.57  3
199510  16    16  17  15  17  16  18  13  17  0.74  3
199511   9     9   9  10   9   8   8   8   8  0.40  2
199512   9     9  10   8   7   9   9   9   8  0.41  2
199601   9    10   8   8   8   8   9   9  12  0.45  2
199602  10    12  13   9   8   8  10  10  12  0.54  3
199603  11    13  15  10   9   9  11  12  13  0.56  3
199604  11    13  13  10   8   9  10   9  16  0.53  2
199605   7     8   7   6   6   6   6   7   8  0.32  1
199606   5     6   6   5   5   5   5   5   6  0.22  1
199607   7     7   7   6   6   7   7   7   6  0.32  1
199608   9    11  10  10   8   8   8   8   9  0.45  2
199609  15    16  16  16  15  14  15  14  13  0.71  3
199610  13    18  17  11  10  10  12  11  14  0.62  3
199611   8    11   8   6   7   7   7   8   9  0.39  2
199612   7     8   7   6   6   6   8   7   8  0.35  1
199701   9     9  10   8   7   8   9   9   8  0.40  2
199702  11    11  12  10   9  12  11  10  14  0.54  2
199703   8     8   8   6   7   7   9   9   8  0.40  2
199704  10    14  15   8   6   8   8  10  13  0.51  2
199705   8     9   8   8   7   9   8   7   9  0.33  1
199706   7     8   8   7   7   7   6   6   7  0.30  1
199707   6     6   7   5   5   6   6   6   6  0.28  1
199708   7     6   8   7   6   6   7   7   8  0.33  1
199709  10    13  11   8   7   8   8  11  13  0.51  2
199710  11    12  12  10   9   9  12   8  12  0.47  2
199711  11    14  17   9   8  10   7   8  11  0.43  2
199712   4     5   5   3   4   4   5   5   5  0.17  1
199801   8     7  10   7   5   7   9   8   7  0.35  1
199802   8    11   7   6   5   6   8   9  11  0.37  2
199803  13    13  11  10  10  12  17  14  12  0.60  3
199804  10    11  12   8   7  10   9  11  10  0.46  2
199805  18    17  25  19  13  18  19  15  16  0.70  3
199806  10    11  11   8   9  10   9  10  11  0.48  2
199807  11     9  12  10   9  11  12  11  12  0.50  2
199808  18    17  19  18  18  18  16  20  17  0.65  3
199809  13    15  16  14  12  12  10  11  11  0.50  2
199810  13    15  14  11   9  12  14  15  12  0.58  3
199811  16    16  21  19  15  14  15  17  13  0.63  3
199812   8     8   8   8   7   8   9   8   8  0.40  2
199901  10    10   9   8  10   9  11  11  13  0.49  2
199902  12    10  12  13  13  14  13  12  10  0.50  2
199903  14    16  16  13  12  14  14  13  12  0.65  3
199904  12    13  15  11  12  10  12  12  12  0.61  3
199905   8     9   9   8   7   9   8   9   7  0.38  2
199906   7     6   8   7   6   7   7   8   7  0.32  1
199907  10     9   7   8   7   8  10  16  12  0.41  2
199908  15    15  14  14  13  16  16  15  15  0.71  3
199909  19    19  22  18  17  17  17  19  22  0.86  4
199910  19    20  24  21  16  19  21  18  16  0.82  4
199911  14    13  13  13  15  14  13  15  15  0.67  3
199912  10    12  11  11   9   9  10  10  11  0.50  2
200001  13    17  14  10  10  12  12  15  14  0.63  3
200002  15    16  17  13  16  17  15  13  16  0.72  3
200003   9     8   9   8   8  10   9   9   9  0.44  2
200004  15    23  17  13  10  12  13  18  18  0.66  3
200005  15    21  19  13  11  11  12  18  15  0.66  3
200006  15    14  11  12  14  20  17  20  15  0.71  3
